UserId,Gender,Age,Height,Weight,Duration,HeartRate,BodyTemp,Calories
18855641,female,46,169,73,19,101,40.5,109
15816958,male,51,205,109,14,94,40.1,81
17043208,female,77,166,63,19,107,40.5,134
11651821,male,33,190,90,11,101,40,62
15873077,male,20,178,79,4,78,38.7,5
16582556,male,33,183,87,23,100,41.3,124
18357946,male,55,184,92,17,97,40.5,104
11450464,male,21,171,72,5,86,39.4,12
19919092,male,50,180,83,29,116,41.2,247
13407292,female,22,175,66,7,90,39.3,30
11481749,male,30,184,90,14,101,39.9,76
14491797,male,51,183,92,15,99,40.2,93
12214426,male,52,176,82,4,80,38.9,13
10445536,male,67,183,91,15,93,40.5,91
14164390,female,38,165,61,25,107,40.6,160
12359689,female,24,154,57,2,79,38.1,6
12474268,female,77,170,75,7,87,39.8,33
17429172,male,76,184,90,17,101,40.1,130
12820206,male,29,186,90,8,91,39.6,31
18417821,female,33,172,68,12,93,40.3,57
16636410,male,38,189,91,15,101,40,88
18201106,female,31,172,72,27,112,41,180
19357189,female,67,173,74,4,76,38.8,14
17674269,male,37,170,76,7,86,39.3,23
16396497,female,23,160,59,5,88,39.4,21
11277863,male,45,193,93,6,90,39.7,27
11170599,female,21,175,67,17,93,40.4,77
11604267,female,26,166,64,20,92,40.3,91
12424035,female,41,165,67,7,88,39.4,30
12680425,female,57,174,72,24,107,40.6,158
19947731,male,37,194,96,11,94,39.7,53
13408614,male,23,176,77,28,102,41.1,140
12005737,female,31,153,51,5,80,39.2,18
10619608,male,61,178,86,12,92,39.9,66
13339255,male,20,192,91,25,94,40.8,98
10062219,female,39,187,87,13,101,40.2,70
16933115,female,73,150,50,27,111,41,205
14962517,male,35,200,98,5,93,39.4,23
14566994,female,25,167,61,24,107,40.2,148
14660476,female,68,159,63,28,105,41.1,187
12706670,female,21,160,54,24,103,40.3,138
14509437,male,20,176,76,26,116,40.9,180
14800286,male,47,189,89,19,99,40.4,113
14157044,male,24,199,102,4,86,39.2,13
14314137,male,38,182,80,23,106,41,147
12985841,female,41,170,68,16,101,40.2,91
17337270,female,24,171,71,5,87,39.2,19
10901125,male,79,200,99,13,88,39.9,79
11695937,male,65,181,83,18,100,40,123
18698939,male,77,181,85,7,85,39.5,36
11948984,male,37,181,82,26,101,40.6,146
12359722,female,45,156,60,19,104,40.5,118
15101589,male,49,189,96,3,86,39,13
19379018,female,21,188,78,21,91,41,87
17866224,male,37,175,74,18,95,40.3,82
14157597,male,42,192,90,18,94,40.3,90
13091299,male,35,173,78,12,85,40,36
13563184,male,68,186,94,8,87,39.6,42
11068822,female,39,174,71,2,88,38.3,8
15839894,male,49,179,82,23,97,41,129
18737707,female,49,166,63,25,108,40.3,167
11816376,female,77,183,76,2,81,38.3,8
13852531,female,28,165,58,5,83,38.8,18
14944130,female,24,164,63,16,94,40.2,76
14178709,female,49,156,57,25,112,40.9,179
12955404,female,47,164,62,3,79,38.5,11
16422659,female,43,173,67,11,95,39.7,56
18459426,male,63,181,83,11,95,39.6,66
17621107,male,29,173,77,13,91,40,47
16223605,male,66,184,89,9,85,39.3,43
11823837,female,58,169,72,6,89,39.1,28
12610228,female,32,180,71,1,77,37.7,3
14660795,male,50,188,95,25,109,40.9,193
14279716,female,36,160,62,13,99,40.1,71
12070148,female,33,163,63,12,93,39.9,57
14279321,female,34,167,66,12,99,39.9,65
16735236,female,78,160,62,15,91,39.9,81
18098043,female,44,169,69,7,88,39.8,31
13581744,female,40,149,54,15,93,40,75
12539849,female,59,169,64,29,114,41.1,217
15132015,male,32,181,84,17,101,40,92
14778686,male,68,174,76,26,110,40.7,217
11182154,female,20,160,53,20,97,40.5,102
12401292,male,73,184,90,10,90,39.6,59
19917787,male,45,183,86,16,98,40.2,90
13690411,female,72,170,69,20,107,40.4,138
18261636,male,61,195,105,11,96,39.7,72
14300304,female,20,168,63,22,104,40.7,126
17419235,male,25,196,98,11,87,39.9,36
15668455,female,28,151,48,25,101,40.7,144
19774028,male,40,180,84,28,101,41.1,163
13483132,female,21,162,60,26,98,40.6,134
15115959,male,29,197,94,17,105,40.3,104
14814268,female,20,155,54,24,110,40.7,156
11882329,female,69,167,63,14,98,40.2,83
10556827,female,56,164,68,10,96,39.8,54
16395133,male,24,182,86,18,91,40.2,64
14903579,female,40,157,56,4,87,38.4,17
14450172,male,61,184,83,12,86,39.9,54
13250862,female,56,158,57,6,81,38.9,24
10021419,female,63,159,62,29,104,40.4,189
13655471,female,60,169,73,10,95,40,53
12130072,female,50,175,77,2,77,38.4,6
16480674,female,75,179,83,26,109,40.8,181
18556513,male,31,182,89,18,103,40.1,104
16725651,male,40,175,77,5,79,39.3,12
16427377,female,22,165,60,24,105,40.9,142
18010312,female,37,154,55,6,92,39.1,29
19206652,male,47,173,79,28,111,40.5,211
19564498,female,57,161,61,30,116,41,231
14486952,male,59,186,90,9,88,39.9,44
11699004,female,28,162,65,17,96,40.2,85
14839686,male,50,184,87,15,96,40.1,84
16843664,male,22,190,88,16,85,40.4,42
17326999,male,44,175,73,14,95,40.4,68
13041275,female,44,162,60,9,87,39.2,39
10797742,male,78,184,87,11,94,39.6,73
19770812,male,25,200,99,23,100,40.4,121
13547603,male,24,178,81,6,85,39.7,15
14445013,female,22,162,56,2,82,38.2,7
19744384,female,38,169,70,1,82,37.8,4
10140238,female,52,157,56,16,93,40.2,83
16001102,male,48,191,88,8,84,39.6,30
11111780,female,45,183,72,7,89,39.7,31
11077569,male,43,170,73,28,106,40.9,181
18357319,male,55,200,99,26,95,41,155
19019813,female,75,174,77,1,73,37.3,3
18957927,male,62,179,83,4,87,38.7,19
10263593,female,25,161,63,2,84,38.3,7
12088340,female,50,154,62,22,100,40.6,129
10749574,female,37,163,57,23,102,40.6,136
17728423,male,25,210,111,22,104,40.6,135
11237440,female,44,153,56,8,91,39.5,39
10776630,male,22,197,99,18,91,40.5,68
19166029,male,24,189,92,6,88,39.2,19
16562821,female,59,168,64,14,94,40.2,75
13964015,female,64,166,61,16,100,40.5,98
15422095,male,64,184,93,19,108,40.4,156
16563380,male,65,186,93,13,97,39.9,86
12374371,male,55,194,99,20,100,40.6,134
16320744,male,27,174,81,8,77,39.7,12
10567295,male,32,188,94,19,95,40.6,90
16690465,male,27,171,72,29,111,41.1,186
11165210,female,39,159,59,18,100,40.1,102
16454462,female,23,155,52,16,94,40.1,78
18109365,female,41,155,56,20,96,40.4,107
12004679,male,61,165,79,9,88,39.5,43
14518651,male,25,205,108,19,99,40.4,101
15610653,male,25,178,83,26,112,40.8,175
17197650,male,27,187,82,25,101,40.8,128
16197127,female,53,158,60,14,87,40.2,64
14629732,male,36,194,96,8,82,39.4,24
10020368,female,22,151,50,7,98,39.5,37
16380283,male,70,199,103,21,106,40.7,177
16627700,female,51,169,70,9,98,39.8,50
12661595,male,56,195,94,21,107,40.7,162
15477893,female,40,163,63,4,81,38.9,14
13122689,male,71,175,77,2,80,38.2,8
16513522,male,36,184,82,13,89,40,49
14740186,male,47,171,75,29,116,41.1,238
11891700,female,28,161,64,21,110,40.5,136
18840106,female,55,164,59,10,86,39.9,45
14187841,female,28,157,61,17,90,40.5,75
14751208,female,20,178,76,25,107,40.8,147
19749901,female,22,182,74,9,85,39.8,32
17272227,male,28,191,89,22,106,40.3,134
15523047,female,23,170,63,15,99,40.3,79
17251684,male,23,179,74,15,89,40,44
10027476,male,70,167,76,19,97,40.6,123
13404165,female,60,165,60,3,88,38.9,14
19677464,female,34,149,47,25,100,40.9,144
19729690,female,27,172,67,4,90,39,17
17045872,female,20,172,70,21,112,40.9,136
16773888,male,37,189,92,16,98,40.4,86
19067220,male,24,184,79,24,102,40.6,122
13505452,female,25,161,62,14,95,40.5,68
12332044,male,79,190,92,22,99,40.6,166
11153703,male,30,183,81,10,88,40.1,33
11109348,female,35,173,67,29,115,41.1,206
11353068,female,56,160,57,25,104,40.2,161
17451128,male,26,204,107,30,106,40.6,191
16280884,female,33,153,54,12,93,39.8,59
13642107,male,58,207,105,8,91,39.5,45
13655931,female,28,167,66,12,96,40.5,60
19983373,female,30,166,58,28,111,41,188
13711852,female,24,162,62,15,89,40.1,63
18845812,female,52,152,51,15,97,40.1,86
14361662,female,57,172,73,5,86,39.5,22
14070898,male,68,203,102,21,111,40.9,190
17334868,male,39,191,90,14,88,40.2,55
16863302,male,50,185,88,11,85,40.1,44
16356363,female,50,168,67,5,81,39.2,19
16517721,female,33,143,46,6,84,39.1,24
12625905,female,63,167,66,25,101,40.8,153
18218601,female,58,170,72,11,97,40.1,61
15154368,male,59,171,83,27,102,41,185
17305573,female,20,166,66,9,96,39.5,43
12317336,female,70,166,65,27,109,40.4,192
18090503,male,71,198,102,22,104,40.6,179
16694676,female,37,153,56,18,104,40.5,110
12828450,female,33,177,74,4,83,39,14
19198940,male,28,191,91,30,111,41,207
19289749,male,25,184,88,19,96,40.5,84
16290605,female,69,169,72,20,104,40.4,129
16994250,male,23,191,82,4,76,38.9,5
16665652,male,60,179,82,5,95,39.1,29
19463444,male,55,181,78,23,108,41,171
14315428,female,29,178,76,17,99,40.1,88
16891781,female,30,163,58,19,92,40.3,89
15538614,male,50,169,74,30,113,40.8,236
17476817,male,36,181,84,17,93,40.6,75
15560360,male,35,183,86,17,95,40.3,80
18682151,male,38,201,101,8,87,39.7,32
12471502,female,40,179,75,26,101,41.2,146
11594770,female,50,161,58,4,85,39.2,17
14781256,male,26,176,78,25,107,40.3,148
13738193,male,23,172,75,22,99,40.7,99
11054957,female,78,159,53,18,104,40.1,124
10207164,male,69,180,86,28,112,40.9,249
13264959,male,25,181,81,2,89,37.6,6
13245778,female,69,172,70,6,85,39.2,27
13796363,male,33,174,77,2,83,38.3,5
19212490,male,26,198,102,14,93,40.3,60
17667558,female,55,161,64,29,104,40.3,184
13528098,male,58,194,95,23,106,40.5,176
14400570,male,36,180,85,23,109,40.6,157
14412879,female,26,181,73,1,75,37.8,3
13446547,female,20,151,54,28,109,41.1,179
11770071,female,63,165,64,13,90,39.9,65
19301268,female,73,176,70,18,97,40.2,105
14839424,female,21,169,61,22,103,40.6,125
14631256,male,46,172,71,20,99,40.4,110
10709573,male,46,176,75,16,91,40.5,70
11859173,female,24,177,76,19,96,40.5,91
16646567,male,35,181,82,23,105,40.5,141
11182170,male,24,172,72,5,87,39.1,13
12950490,female,20,166,58,14,90,40.2,60
17568795,male,61,186,89,27,101,40.8,187
17989215,male,30,168,70,4,78,38.8,6
11672096,male,22,182,82,27,106,40.4,152
10332883,female,59,153,55,2,85,38,9
14987938,female,26,180,73,14,99,40,72
16810366,female,54,158,60,14,95,40.1,76
10171790,female,30,169,69,6,89,39.4,25
16161315,male,43,181,80,10,97,39.6,53
17407051,female,40,172,70,11,94,39.7,54
19889225,male,56,182,87,22,101,40.4,146
16815544,female,21,184,72,18,98,40.2,90
10444600,female,22,155,51,29,111,40.8,194
10999566,male,71,174,79,19,98,40.4,128
16922982,male,33,185,91,17,91,40.1,70
14467709,male,20,196,92,13,91,39.8,46
19209733,male,76,198,109,14,92,40.3,94
13749090,male,51,181,87,10,85,39.7,40
16085425,male,20,163,69,2,78,38.3,2
15154342,female,73,163,58,6,89,39.1,31
18243252,male,23,188,89,16,103,40.3,86
10977360,female,20,168,67,5,82,39.4,17
10636936,female,22,167,67,21,95,40.1,100
11422946,female,36,175,67,23,103,40.7,135
11396446,female,73,157,58,2,79,38.4,8
19738696,male,24,169,73,3,75,38.6,3
18811883,male,27,190,90,28,106,40.4,170
13335840,female,45,150,52,8,85,39.5,34
10411621,male,73,176,81,22,102,40.8,165
15005212,male,54,176,80,20,95,39.7,110
19971278,female,38,170,70,13,91,39.9,59
19400848,female,20,173,69,17,95,40.4,80
12225872,male,42,190,88,2,79,38.7,5
10866748,female,60,171,70,5,85,39.1,22
10615164,male,73,187,84,3,81,38.5,13
14335927,female,22,189,82,19,93,40.6,82
17670099,female,60,157,54,7,87,39.7,33
19693886,female,32,153,51,12,101,40.4,69
11594161,male,21,171,73,20,91,40.7,63
17753289,male,41,174,74,4,80,38.8,10
14129972,male,66,164,71,20,100,40.6,133
17546508,male,50,171,77,29,111,40.8,222
10647581,female,59,132,40,10,92,39.9,55
16855873,female,74,144,51,5,90,38.7,27
16820253,female,22,170,62,21,105,40.4,124
10272678,male,41,185,88,19,97,40.1,101
13571771,female,24,155,55,30,109,40.9,193
19604604,male,23,167,69,22,102,40.5,106
11586893,male,33,191,90,21,105,40.5,130
12330499,male,27,188,84,6,87,39.1,18
12235821,male,59,190,99,25,107,40.7,199
18182811,male,41,187,93,23,105,40.9,153
15716749,male,44,214,113,3,85,38.9,13
18557561,male,66,199,100,17,98,40.5,118
11252629,female,26,161,56,21,109,40.3,136
14932277,male,29,179,83,28,96,41,126
10748485,male,34,183,82,3,84,38.6,9
11636441,male,60,173,82,24,104,40.2,172
12951148,female,22,164,62,27,112,40.9,179
13310205,male,20,184,83,7,90,39.5,22
19701731,male,64,171,77,6,80,39.3,22
15789439,female,78,177,76,22,101,40.6,138
12799806,female,56,153,52,16,97,40.4,92
10189848,male,20,179,77,23,97,40.6,94
16956783,female,50,163,60,19,100,40.7,112
19136513,male,36,179,82,25,103,40.6,147
13653396,female,27,155,58,28,114,40.7,196
18729924,male,38,200,99,16,100,40.2,94
19368751,male,25,175,75,9,86,39.7,24
13344313,male,64,186,92,21,102,40.2,153
15259211,male,28,185,87,24,95,40.5,105
13120041,male,26,192,90,17,109,40.5,110
17046450,male,56,192,90,3,85,38.7,13
17298917,female,55,174,68,2,76,38,7
19312005,female,23,154,58,16,90,40.1,70
17152531,female,65,151,52,21,105,40.9,142
10115284,male,44,196,95,3,83,38.8,11
12407086,male,20,180,80,6,82,39.2,11
14806687,male,52,185,86,26,98,40.7,155
12300466,female,41,159,57,17,93,40.1,85
15478503,female,34,173,67,14,94,40.2,68
14469880,male,65,185,92,24,102,40.7,176
11209514,female,37,174,69,26,104,40.8,155
10157295,female,25,160,54,13,86,40.4,52
11583687,male,29,189,91,3,91,38.7,12
17242181,female,24,179,68,16,101,40.1,87
10700293,female,27,174,77,30,112,40.9,195
11028654,male,41,187,88,29,110,40.7,212
19091958,male,36,191,93,15,98,40.3,80
10168643,male,26,197,90,24,104,40.7,137
12982023,male,53,183,84,22,103,40.5,148
12999089,male,68,192,100,11,102,39.8,84
17271525,female,41,172,61,28,102,40.9,166
14030207,male,30,184,79,12,95,40.1,52
16861363,male,20,174,74,27,108,40.6,153
14134398,female,21,174,66,9,94,39.8,42
12611448,male,44,172,79,6,86,38.9,22
13828542,female,49,173,72,8,87,39.7,34
14003382,female,33,161,57,18,99,40.5,99
12818636,male,78,175,76,21,102,40.1,160
13717383,male,79,177,83,13,88,40.5,74
11832495,male,63,203,111,16,92,40.1,98
10122039,female,22,153,57,1,81,38,3
16901202,male,23,185,82,21,102,40.8,107
16976041,male,21,197,100,21,97,40.5,97
15747020,male,39,175,81,16,86,40.1,55
13356448,female,22,169,64,19,100,40.4,101
14692435,male,36,192,90,10,83,40.2,30
17177140,female,27,171,62,5,87,39.2,20
12858055,female,25,171,60,25,112,40.8,168
13263146,male,24,178,77,1,76,38,1
11903056,female,72,184,79,23,110,40.5,163
15951389,male,39,175,79,22,99,40.5,118
15267778,male,55,191,95,19,99,40.6,123
19173889,female,25,169,67,15,96,40.2,74
12746252,male,20,183,80,21,103,40.4,106
19168503,female,22,156,54,3,92,38.6,14
14179772,male,24,203,103,11,93,40,47
16541767,female,71,155,56,10,90,39.8,52
13017881,male,79,190,94,27,106,40.7,234
15032806,male,50,191,95,11,94,39.9,60
12475200,male,23,185,84,21,101,40.6,105
16487558,male,66,184,86,25,106,40.4,196
14891076,male,74,212,115,23,109,40.5,214
15259732,male,49,198,105,12,94,40.2,68
15250736,male,24,193,96,25,105,40.8,147
14769275,male,48,195,94,14,100,40.1,88
13695538,male,20,198,104,30,106,40.8,181
16376096,male,33,190,95,15,89,40.2,58
10864387,female,44,171,70,17,105,40.4,105
13113741,female,74,186,80,15,92,40.1,78
13496284,male,37,185,84,15,97,40,76
17809520,male,28,195,94,17,100,40.5,90
19650071,male,38,182,88,15,91,40.1,64
18493222,male,28,183,88,4,86,39.3,12
13919809,male,30,205,114,22,114,40.7,174
15518976,male,53,197,98,2,81,38.2,7
14907689,female,62,166,67,3,84,39.1,13
19335230,female,46,169,72,4,86,38.6,17
16257971,female,35,161,57,12,94,39.9,60
11813603,female,61,154,55,14,95,40.2,78
15138479,male,45,192,95,17,94,40.3,89
18070906,female,53,155,52,23,97,40.4,131
13578204,female,20,148,54,4,73,38.9,10
18216595,male,73,186,93,24,107,41.1,204
10196902,male,38,170,75,14,95,40.4,65
12965906,female,28,157,57,8,85,39.9,31
18434917,female,37,163,59,20,109,40.7,132
18862587,female,23,168,60,22,94,40.3,105
18085938,female,38,167,61,25,106,41,157
13277334,male,40,196,102,5,91,39.1,23
13726063,male,28,172,81,25,113,40.7,174
11968334,female,70,156,55,10,86,39.7,48
13481079,female,42,177,75,21,95,40.6,105
14090351,female,24,165,66,14,90,39.7,60
12483435,female,21,157,54,19,101,40.5,105
18874399,female,63,158,61,30,106,40.9,202
11501754,female,27,161,58,16,91,40.3,73
12578105,female,52,169,71,19,100,40.5,109
14869915,female,59,157,58,18,96,40.2,101
11612313,female,24,165,62,4,83,38.9,14
13076521,male,44,180,79,21,100,40.9,120
15359909,male,31,182,87,27,115,41,204
13347114,female,51,162,59,2,82,38.2,8
13492419,male,42,179,82,15,85,40.4,52
18996844,female,29,159,63,27,111,40.7,179
10952926,male,23,192,91,27,108,40.8,167
12849019,male,29,190,94,4,76,38.8,7
17911210,male,25,192,87,18,99,40.2,87
15412272,male,52,183,89,4,72,38.8,8
11542826,male,71,183,84,14,97,40.1,94
13025999,female,79,167,61,5,82,38.8,22
10788929,female,60,163,59,28,102,40.4,176
14525177,female,30,158,53,24,100,40.7,135
12389811,female,27,172,66,12,94,39.7,57
17117359,male,55,194,99,16,92,40.4,88
14071859,male,47,196,105,26,102,40.6,175
16299205,female,20,171,71,3,79,38.5,9
18212961,male,79,176,82,13,96,40.3,90
18322780,male,24,170,70,29,99,41.2,128
15115764,female,38,153,51,28,105,41.1,177
15579815,female,63,141,45,2,81,38.2,9
12746655,female,71,159,58,24,109,40.7,174
11906536,male,20,184,79,14,96,39.9,56
18015016,male,60,192,88,27,109,40.6,218
18001428,male,76,188,93,8,93,39.7,52
19871856,male,48,171,79,25,102,40.2,156
11481222,male,33,200,98,30,108,40.8,205
15165311,male,51,199,104,25,104,40.3,180
12800956,female,20,164,64,15,101,40.1,81
17714009,female,22,166,58,8,89,39.6,34
13367422,male,63,185,87,12,93,39.8,69
12994105,male,33,185,83,23,98,40.8,115
11905609,male,22,189,80,5,86,39.3,13
17995892,male,47,182,89,18,94,40.7,93
11586786,female,22,164,64,17,95,40.3,81
12721653,male,28,178,78,8,89,39.9,26
14446331,female,38,165,66,9,93,39.5,43
18163157,female,50,161,59,5,89,38.7,24
10146798,male,20,197,93,11,97,39.8,49
17727250,female,21,146,49,8,90,39.5,36
12610916,female,65,178,68,6,83,39.3,25
12455822,male,20,189,86,11,91,40.1,37
11112013,male,25,171,74,27,104,40.7,144
13776243,female,31,190,82,25,114,40.9,168
17721746,female,39,165,67,17,90,40.4,77
18345783,male,34,178,81,9,95,39.7,41
19691507,male,73,172,76,4,85,38.9,19
18306592,male,28,187,87,13,97,40.1,61
19170181,male,57,183,89,18,93,40.5,99
14003775,female,59,185,80,15,87,40.6,66
11160770,male,70,175,83,27,106,40.6,216
14338206,female,20,171,68,23,99,41.1,118
15683964,female,25,162,63,4,83,39.1,14
11685997,female,23,169,66,16,97,40,80
16437198,female,23,140,50,21,93,41,100
17012369,male,28,184,88,20,107,40.5,124
15369798,female,52,154,56,21,105,40.3,136
16055689,male,56,187,90,25,99,40.5,160
15382190,female,38,164,61,23,101,40.7,132
14784146,male,44,168,69,10,85,39.7,33
13473706,female,58,162,60,17,98,39.9,99
15128163,female,51,149,48,28,107,40.9,191
18026757,male,66,177,77,6,76,39.1,19
15438491,male,59,198,107,23,106,40.5,183
10060589,male,54,187,88,8,92,39.3,42
11994271,male,21,180,78,14,105,40.2,75
17548410,male,24,191,93,17,110,40.5,112
16548462,female,77,166,66,21,107,40.7,147
15805510,female,53,205,93,3,74,38.8,8
14988285,male,51,200,96,25,114,40.9,214
11106719,female,64,167,69,12,95,40.3,66
18034259,male,51,178,81,8,85,39.4,31
16599246,female,21,172,64,15,94,40.1,70
15811330,female,22,146,49,5,84,39.3,19
11349389,male,53,189,88,12,93,40.1,64
11640033,female,59,167,69,23,106,41.1,151
16266919,female,20,174,67,3,79,39.1,9
16516852,male,63,175,78,26,105,41,192
19382936,male,60,191,95,2,72,38.1,5
10824149,female,53,182,78,6,91,39.2,28
18651406,male,69,177,86,14,97,40,93
19939941,male,27,181,82,18,105,40.3,103
17794285,male,75,182,88,11,94,39.9,72
18667101,female,36,177,74,16,94,39.9,77
16798826,male,23,174,70,25,102,40.9,121
18894993,male,28,193,96,25,109,40.8,167
13281279,male,25,180,81,15,91,40.2,53
18255361,male,76,210,114,7,94,39.3,50
15941631,male,73,175,73,11,94,39.9,67
10959171,female,31,160,62,13,92,40.1,61
11703009,male,43,184,85,9,83,39.8,29
12581930,female,72,161,62,17,102,40.5,110
16754579,female,31,165,65,22,90,40.6,97
15160272,female,72,154,59,5,84,39.4,23
12215329,female,75,161,63,25,105,40.5,170
16983053,female,24,193,83,5,82,38.7,16
12573396,female,32,159,60,25,107,40.9,158
14282992,male,30,181,82,19,101,40.4,100
15694956,female,27,165,66,30,104,40.6,174
15351072,female,74,164,67,6,84,39.4,27
14494018,female,67,171,67,4,80,39.1,16
14015894,male,31,188,91,17,98,40.3,86
11236996,female,35,164,58,7,94,39.7,35
17214810,female,27,158,61,7,82,39.3,25
10350432,male,26,194,101,17,83,40.5,47
15530612,female,60,161,62,17,93,40.5,90
16366436,male,32,182,78,2,72,37.6,2
10850183,male,23,182,87,3,83,38.6,7
17434461,male,37,192,95,29,119,40.7,250
